REF_DATE,GEO,Age group,Pregnancy outcomes,VALUE
1974,"Newfoundland and Labrador, place of residence of females",15 to 17 years,Induced abortions,2.3
1974,"Newfoundland and Labrador, place of residence of females",15 to 17 years,Fetal loss,91
1974,"Newfoundland and Labrador, place of residence of females",15 to 17 years,Fetal loss,5.0
1974,"Newfoundland and Labrador, place of residence of females",18 to 19 years,"Total, pregnancies",1617
1974,"Newfoundland and Labrador, place of residence of females",18 to 19 years,"Total, pregnancies",138.3
1974,"Newfoundland and Labrador, place of residence of females",18 to 19 years,Live births,1489
1974,"Newfoundland and Labrador, place of residence of females",18 to 19 years,Live births,127.3
1974,"Newfoundland and Labrador, place of residence of females",18 to 19 years,Induced abortions,0
1974,"Newfoundland and Labrador, place of residence of females",18 to 19 years,Induced abortions,0.0
1974,"Newfoundland and Labrador, place of residence of females",18 to 19 years,Fetal loss,128
1974,"Newfoundland and Labrador, place of residence of females",18 to 19 years,Fetal loss,10.9
1974,"Newfoundland and Labrador, place of residence of females",20 to 24 years,"Total, pregnancies",4584
1974,"Newfoundland and Labrador, place of residence of females",20 to 24 years,"Total, pregnancies",178.8
1974,"Newfoundland and Labrador, place of residence of females",20 to 24 years,Live births,4215
1974,"Newfoundland and Labrador, place of residence of females",20 to 24 years,Live births,164.4
1974,"Newfoundland and Labrador, place of residence of females",20 to 24 years,Induced abortions,52
1974,"Newfoundland and Labrador, place of residence of females",20 to 24 years,Induced abortions,2.0
1974,"Newfoundland and Labrador, place of residence of females",20 to 24 years,Fetal loss,317
1974,"Newfoundland and Labrador, place of residence of females",20 to 24 years,Fetal loss,12.4
1974,"Newfoundland and Labrador, place of residence of females",25 to 29 years,"Total, pregnancies",3355
1974,"Newfoundland and Labrador, place of residence of females",25 to 29 years,"Total, pregnancies",157.0
1974,"Newfoundland and Labrador, place of residence of females",25 to 29 years,Live births,3009
1974,"Newfoundland and Labrador, place of residence of females",25 to 29 years,Live births,140.8
1974,"Newfoundland and Labrador, place of residence of females",25 to 29 years,Induced abortions,37
1974,"Newfoundland and Labrador, place of residence of females",25 to 29 years,Induced abortions,1.7
1974,"Newfoundland and Labrador, place of residence of females",25 to 29 years,Fetal loss,309
1974,"Newfoundland and Labrador, place of residence of females",25 to 29 years,Fetal loss,14.5
1974,"Newfoundland and Labrador, place of residence of females",30 to 34 years,"Total, pregnancies",1436
1974,"Newfoundland and Labrador, place of residence of females",30 to 34 years,"Total, pregnancies",93.4
1974,"Newfoundland and Labrador, place of residence of females",30 to 34 years,Live births,1268
1974,"Newfoundland and Labrador, place of residence of females",30 to 34 years,Live births,82.5
1974,"Newfoundland and Labrador, place of residence of females",30 to 34 years,Induced abortions,23
1974,"Newfoundland and Labrador, place of residence of females",30 to 34 years,Induced abortions,1.5
1974,"Newfoundland and Labrador, place of residence of females",30 to 34 years,Fetal loss,145
1974,"Newfoundland and Labrador, place of residence of females",30 to 34 years,Fetal loss,9.4
1974,"Newfoundland and Labrador, place of residence of females",35 to 39 years,"Total, pregnancies",598
1974,"Newfoundland and Labrador, place of residence of females",35 to 39 years,"Total, pregnancies",46.8
1974,"Newfoundland and Labrador, place of residence of females",35 to 39 years,Live births,500
1974,"Newfoundland and Labrador, place of residence of females",35 to 39 years,Live births,39.1
1974,"Newfoundland and Labrador, place of residence of females",35 to 39 years,Induced abortions,10
1974,"Newfoundland and Labrador, place of residence of females",35 to 39 years,Induced abortions,0.8
1974,"Newfoundland and Labrador, place of residence of females",35 to 39 years,Fetal loss,88
1974,"Newfoundland and Labrador, place of residence of females",35 to 39 years,Fetal loss,6.9
1974,"Newfoundland and Labrador, place of residence of females",40 years and over,"Total, pregnancies",262
1974,"Newfoundland and Labrador, place of residence of females",40 years and over,"Total, pregnancies",22.4
1974,"Newfoundland and Labrador, place of residence of females",40 years and over,Live births,178
1974,"Newfoundland and Labrador, place of residence of females",40 years and over,Live births,15.2
1974,"Newfoundland and Labrador, place of residence of females",40 years and over,Induced abortions,16
1974,"Newfoundland and Labrador, place of residence of females",40 years and over,Induced abortions,1.4
1974,"Newfoundland and Labrador, place of residence of females",40 years and over,Fetal loss,68
1974,"Newfoundland and Labrador, place of residence of females",40 years and over,Fetal loss,5.8
1974,"Newfoundland and Labrador, place of residence of females",Unknown age group,"Total, pregnancies",126
1974,"Newfoundland and Labrador, place of residence of females",Unknown age group,Live births,0
1974,"Newfoundland and Labrador, place of residence of females",Unknown age group,Induced abortions,0
1974,"Newfoundland and Labrador, place of residence of females",Unknown age group,Fetal loss,126
1974,"Prince Edward Island, place of residence of females",All ages,"Total, pregnancies",2224
1974,"Prince Edward Island, place of residence of females",All ages,"Total, pregnancies",85.0
1974,"Prince Edward Island, place of residence of females",All ages,Live births,1939
1974,"Prince Edward Island, place of residence of females",All ages,Live births,74.1
1974,"Prince Edward Island, place of residence of females",All ages,Induced abortions,50
1974,"Prince Edward Island, place of residence of females",All ages,Induced abortions,1.9
1974,"Prince Edward Island, place of residence of females",All ages,Fetal loss,235
1974,"Prince Edward Island, place of residence of females",All ages,Fetal loss,9.0
1974,"Prince Edward Island, place of residence of females",Under 20 years,"Total, pregnancies",365
1974,"Prince Edward Island, place of residence of females",Under 20 years,"Total, pregnancies",49.6
1974,"Prince Edward Island, place of residence of females",Under 20 years,Live births,311
1974,"Prince Edward Island, place of residence of females",Under 20 years,Live births,42.3
1974,"Prince Edward Island, place of residence of females",Under 20 years,Induced abortions,20
1974,"Prince Edward Island, place of residence of females",Under 20 years,Induced abortions,2.7
1974,"Prince Edward Island, place of residence of females",Under 20 years,Fetal loss,34
1974,"Prince Edward Island, place of residence of females",Under 20 years,Fetal loss,4.6
1974,"Prince Edward Island, place of residence of females",Under 15 years,"Total, pregnancies",10
1974,"Prince Edward Island, place of residence of females",Under 15 years,"Total, pregnancies",7.5
1974,"Prince Edward Island, place of residence of females",Under 15 years,Live births,4
1974,"Prince Edward Island, place of residence of females",Under 15 years,Live births,3.0
1974,"Prince Edward Island, place of residence of females",Under 15 years,Induced abortions,4
1974,"Prince Edward Island, place of residence of females",Under 15 years,Induced abortions,3.0
1974,"Prince Edward Island, place of residence of females",Under 15 years,Fetal loss,2
1974,"Prince Edward Island, place of residence of females",Under 15 years,Fetal loss,1.5
1974,"Prince Edward Island, place of residence of females",15 to 19 years,"Total, pregnancies",355
1974,"Prince Edward Island, place of residence of females",15 to 19 years,"Total, pregnancies",59.1
1974,"Prince Edward Island, place of residence of females",15 to 19 years,Live births,307
1974,"Prince Edward Island, place of residence of females",15 to 19 years,Live births,51.1
1974,"Prince Edward Island, place of residence of females",15 to 19 years,Induced abortions,16
1974,"Prince Edward Island, place of residence of females",15 to 19 years,Induced abortions,2.7
1974,"Prince Edward Island, place of residence of females",15 to 19 years,Fetal loss,32
1974,"Prince Edward Island, place of residence of females",15 to 19 years,Fetal loss,5.3
1974,"Prince Edward Island, place of residence of females",15 to 17 years,"Total, pregnancies",149
1974,"Prince Edward Island, place of residence of females",15 to 17 years,"Total, pregnancies",40.0
1974,"Prince Edward Island, place of residence of females",15 to 17 years,Live births,124
1974,"Prince Edward Island, place of residence of females",15 to 17 years,Live births,33.3
1974,"Prince Edward Island, place of residence of females",15 to 17 years,Induced abortions,9
1974,"Prince Edward Island, place of residence of females",15 to 17 years,Induced abortions,2.4
1974,"Prince Edward Island, place of residence of females",15 to 17 years,Fetal loss,16
1974,"Prince Edward Island, place of residence of females",15 to 17 years,Fetal loss,4.3
1974,"Prince Edward Island, place of residence of females",18 to 19 years,"Total, pregnancies",206
1974,"Prince Edward Island, place of residence of females",18 to 19 years,"Total, pregnancies",90.2
1974,"Prince Edward Island, place of residence of females",18 to 19 years,Live births,183
1974,"Prince Edward Island, place of residence of females",18 to 19 years,Live births,80.2
1974,"Prince Edward Island, place of residence of females",18 to 19 years,Induced abortions,7
1974,"Prince Edward Island, place of residence of females",18 to 19 years,Induced abortions,3.1
1974,"Prince Edward Island, place of residence of females",18 to 19 years,Fetal loss,16
1974,"Prince Edward Island, place of residence of females",18 to 19 years,Fetal loss,7.0
1974,"Prince Edward Island, place of residence of females",20 to 24 years,"Total, pregnancies",740
1974,"Prince Edward Island, place of residence of females",20 to 24 years,"Total, pregnancies",154.3
1974,"Prince Edward Island, place of residence of females",20 to 24 years,Live births,659
1974,"Prince Edward Island, place of residence of females",20 to 24 years,Live births,137.4
1974,"Prince Edward Island, place of residence of females",20 to 24 years,Induced abortions,13
1974,"Prince Edward Island, place of residence of females",20 to 24 years,Induced abortions,2.7
1974,"Prince Edward Island, place of residence of females",20 to 24 years,Fetal loss,68
1974,"Prince Edward Island, place of residence of females",20 to 24 years,Fetal loss,14.2
1974,"Prince Edward Island, place of residence of females",25 to 29 years,"Total, pregnancies",667
1974,"Prince Edward Island, place of residence of females",25 to 29 years,"Total, pregnancies",159.4
1974,"Prince Edward Island, place of residence of females",25 to 29 years,Live births,598
1974,"Prince Edward Island, place of residence of females",25 to 29 years,Live births,142.9
1974,"Prince Edward Island, place of residence of females",25 to 29 years,Induced abortions,8
1974,"Prince Edward Island, place of residence of females",25 to 29 years,Induced abortions,1.9
1974,"Prince Edward Island, place of residence of females",25 to 29 years,Fetal loss,61
1974,"Prince Edward Island, place of residence of females",25 to 29 years,Fetal loss,14.6
1974,"Prince Edward Island, place of residence of females",30 to 34 years,"Total, pregnancies",290
1974,"Prince Edward Island, place of residence of females",30 to 34 years,"Total, pregnancies",92.7
1974,"Prince Edward Island, place of residence of females",30 to 34 years,Live births,247
1974,"Prince Edward Island, place of residence of females",30 to 34 years,Live births,78.9
1974,"Prince Edward Island, place of residence of females",30 to 34 years,Induced abortions,4
1974,"Prince Edward Island, place of residence of females",30 to 34 years,Induced abortions,1.3
1974,"Prince Edward Island, place of residence of females",30 to 34 years,Fetal loss,39
1974,"Prince Edward Island, place of residence of females",30 to 34 years,Fetal loss,12.5
1974,"Prince Edward Island, place of residence of females",35 to 39 years,"Total, pregnancies",118
1974,"Prince Edward Island, place of residence of females",35 to 39 years,"Total, pregnancies",42.2
1974,"Prince Edward Island, place of residence of females",35 to 39 years,Live births,95
1974,"Prince Edward Island, place of residence of females",35 to 39 years,Live births,34.0
1974,"Prince Edward Island, place of residence of females",35 to 39 years,Induced abortions,4
1974,"Prince Edward Island, place of residence of females",35 to 39 years,Induced abortions,1.4
1974,"Prince Edward Island, place of residence of females",35 to 39 years,Fetal loss,19
1974,"Prince Edward Island, place of residence of females",35 to 39 years,Fetal loss,6.8
1974,"Prince Edward Island, place of residence of females",40 years and over,"Total, pregnancies",44
1974,"Prince Edward Island, place of residence of females",40 years and over,"Total, pregnancies",16.7
1974,"Prince Edward Island, place of residence of females",40 years and over,Live births,29
1974,"Prince Edward Island, place of residence of females",40 years and over,Live births,11.0
1974,"Prince Edward Island, place of residence of females",40 years and over,Induced abortions,1
1974,"Prince Edward Island, place of residence of females",40 years and over,Induced abortions,0.4
1974,"Prince Edward Island, place of residence of females",40 years and over,Fetal loss,14
1974,"Prince Edward Island, place of residence of females",40 years and over,Fetal loss,5.3
1974,"Prince Edward Island, place of residence of females",Unknown age group,"Total, pregnancies",0
1974,"Prince Edward Island, place of residence of females",Unknown age group,Live births,0
1974,"Prince Edward Island, place of residence of females",Unknown age group,Induced abortions,0
1974,"Prince Edward Island, place of residence of females",Unknown age group,Fetal loss,0
1974,"Nova Scotia, place of residence of females",All ages,"Total, pregnancies",15398
1974,"Nova Scotia, place of residence of females",All ages,"Total, pregnancies",79.2
1974,"Nova Scotia, place of residence of females",All ages,Live births,12941
1974,"Nova Scotia, place of residence of females",All ages,Live births,66.6
1974,"Nova Scotia, place of residence of females",All ages,Induced abortions,1062
1974,"Nova Scotia, place of residence of females",All ages,Induced abortions,5.5
1974,"Nova Scotia, place of residence of females",All ages,Fetal loss,1395
1974,"Nova Scotia, place of residence of females",All ages,Fetal loss,7.2
1974,"Nova Scotia, place of residence of females",Under 20 years,"Total, pregnancies",2907
1974,"Nova Scotia, place of residence of females",Under 20 years,"Total, pregnancies",58.7
1974,"Nova Scotia, place of residence of females",Under 20 years,Live births,2278
1974,"Nova Scotia, place of residence of females",Under 20 years,Live births,46.0
1974,"Nova Scotia, place of residence of females",Under 20 years,Induced abortions,399
1974,"Nova Scotia, place of residence of females",Under 20 years,Induced abortions,8.1
1974,"Nova Scotia, place of residence of females",Under 20 years,Fetal loss,230
1974,"Nova Scotia, place of residence of females",Under 20 years,Fetal loss,4.6
1974,"Nova Scotia, place of residence of females",Under 15 years,"Total, pregnancies",66
1974,"Nova Scotia, place of residence of females",Under 15 years,"Total, pregnancies",7.7
1974,"Nova Scotia, place of residence of females",Under 15 years,Live births,31
1974,"Nova Scotia, place of residence of females",Under 15 years,Live births,3.6
1974,"Nova Scotia, place of residence of females",Under 15 years,Induced abortions,29
1974,"Nova Scotia, place of residence of females",Under 15 years,Induced abortions,3.4
1974,"Nova Scotia, place of residence of females",Under 15 years,Fetal loss,6
1974,"Nova Scotia, place of residence of females",Under 15 years,Fetal loss,0.7
1974,"Nova Scotia, place of residence of females",15 to 19 years,"Total, pregnancies",2841
1974,"Nova Scotia, place of residence of females",15 to 19 years,"Total, pregnancies",69.3
1974,"Nova Scotia, place of residence of females",15 to 19 years,Live births,2247
1974,"Nova Scotia, place of residence of females",15 to 19 years,Live births,54.8
1974,"Nova Scotia, place of residence of females",15 to 19 years,Induced abortions,370
1974,"Nova Scotia, place of residence of females",15 to 19 years,Induced abortions,9.0
1974,"Nova Scotia, place of residence of females",15 to 19 years,Fetal loss,224
1974,"Nova Scotia, place of residence of females",15 to 19 years,Fetal loss,5.5
1974,"Nova Scotia, place of residence of females",15 to 17 years,"Total, pregnancies",1160
1974,"Nova Scotia, place of residence of females",15 to 17 years,"Total, pregnancies",46.6
1974,"Nova Scotia, place of residence of females",15 to 17 years,Live births,848
1974,"Nova Scotia, place of residence of females",15 to 17 years,Live births,34.1
1974,"Nova Scotia, place of residence of females",15 to 17 years,Induced abortions,215
1974,"Nova Scotia, place of residence of females",15 to 17 years,Induced abortions,8.6
1974,"Nova Scotia, place of residence of females",15 to 17 years,Fetal loss,97
1974,"Nova Scotia, place of residence of females",15 to 17 years,Fetal loss,3.9
1974,"Nova Scotia, place of residence of females",18 to 19 years,"Total, pregnancies",1681
1974,"Nova Scotia, place of residence of females",18 to 19 years,"Total, pregnancies",104.2
1974,"Nova Scotia, place of residence of females",18 to 19 years,Live births,1399
1974,"Nova Scotia, place of residence of females",18 to 19 years,Live births,86.7
1974,"Nova Scotia, place of residence of females",18 to 19 years,Induced abortions,155
1974,"Nova Scotia, place of residence of females",18 to 19 years,Induced abortions,9.6
1974,"Nova Scotia, place of residence of females",18 to 19 years,Fetal loss,127
1974,"Nova Scotia, place of residence of females",18 to 19 years,Fetal loss,7.9
1974,"Nova Scotia, place of residence of females",20 to 24 years,"Total, pregnancies",5258
1974,"Nova Scotia, place of residence of females",20 to 24 years,"Total, pregnancies",147.1
1974,"Nova Scotia, place of residence of females",20 to 24 years,Live births,4523
1974,"Nova Scotia, place of residence of females",20 to 24 years,Live births,126.6
1974,"Nova Scotia, place of residence of females",20 to 24 years,Induced abortions,306
1974,"Nova Scotia, place of residence of females",20 to 24 years,Induced abortions,8.6
1974,"Nova Scotia, place of residence of females",20 to 24 years,Fetal loss,429
1974,"Nova Scotia, place of residence of females",20 to 24 years,Fetal loss,12.0
1974,"Nova Scotia, place of residence of females",25 to 29 years,"Total, pregnancies",4612
1974,"Nova Scotia, place of residence of females",25 to 29 years,"Total, pregnancies",144.8
1974,"Nova Scotia, place of residence of females",25 to 29 years,Live births,4024
1974,"Nova Scotia, place of residence of females",25 to 29 years,Live births,126.3
1974,"Nova Scotia, place of residence of females",25 to 29 years,Induced abortions,173
1974,"Nova Scotia, place of residence of females",25 to 29 years,Induced abortions,5.4
1974,"Nova Scotia, place of residence of females",25 to 29 years,Fetal loss,415
1974,"Nova Scotia, place of residence of females",25 to 29 years,Fetal loss,13.0
1974,"Nova Scotia, place of residence of females",30 to 34 years,"Total, pregnancies",1722
1974,"Nova Scotia, place of residence of females",30 to 34 years,"Total, pregnancies",70.7
1974,"Nova Scotia, place of residence of females",30 to 34 years,Live births,1455
1974,"Nova Scotia, place of residence of females",30 to 34 years,Live births,59.8
1974,"Nova Scotia, place of residence of females",30 to 34 years,Induced abortions,90
1974,"Nova Scotia, place of residence of females",30 to 34 years,Induced abortions,3.7
1974,"Nova Scotia, place of residence of females",30 to 34 years,Fetal loss,177
1974,"Nova Scotia, place of residence of females",30 to 34 years,Fetal loss,7.3
1974,"Nova Scotia, place of residence of females",35 to 39 years,"Total, pregnancies",666
1974,"Nova Scotia, place of residence of females",35 to 39 years,"Total, pregnancies",32.0
1974,"Nova Scotia, place of residence of females",35 to 39 years,Live births,514
1974,"Nova Scotia, place of residence of females",35 to 39 years,Live births,24.7
1974,"Nova Scotia, place of residence of females",35 to 39 years,Induced abortions,59
1974,"Nova Scotia, place of residence of females",35 to 39 years,Induced abortions,2.8
1974,"Nova Scotia, place of residence of females",35 to 39 years,Fetal loss,93
1974,"Nova Scotia, place of residence of females",35 to 39 years,Fetal loss,4.5
1974,"Nova Scotia, place of residence of females",40 years and over,"Total, pregnancies",224
1974,"Nova Scotia, place of residence of females",40 years and over,"Total, pregnancies",11.0
1974,"Nova Scotia, place of residence of females",40 years and over,Live births,138
1974,"Nova Scotia, place of residence of females",40 years and over,Live births,6.8
1974,"Nova Scotia, place of residence of females",40 years and over,Induced abortions,35
1974,"Nova Scotia, place of residence of females",40 years and over,Induced abortions,1.7
1974,"Nova Scotia, place of residence of females",40 years and over,Fetal loss,51
1974,"Nova Scotia, place of residence of females",40 years and over,Fetal loss,2.5
1974,"Nova Scotia, place of residence of females",Unknown age group,"Total, pregnancies",9
1974,"Nova Scotia, place of residence of females",Unknown age group,Live births,9
1974,"Nova Scotia, place of residence of females",Unknown age group,Induced abortions,0
1974,"Nova Scotia, place of residence of females",Unknown age group,Fetal loss,0
1974,"New Brunswick, place of residence of females",All ages,"Total, pregnancies",12986
1974,"New Brunswick, place of residence of females",All ages,"Total, pregnancies",81.9
1974,"New Brunswick, place of residence of females",All ages,Live births,11444
1974,"New Brunswick, place of residence of females",All ages,Live births,72.2
1974,"New Brunswick, place of residence of females",All ages,Induced abortions,440
1974,"New Brunswick, place of residence of females",All ages,Induced abortions,2.8
1974,"New Brunswick, place of residence of females",All ages,Fetal loss,1102
1974,"New Brunswick, place of residence of females",All ages,Fetal loss,7.0
1974,"New Brunswick, place of residence of females",Under 20 years,"Total, pregnancies",2309
1974,"New Brunswick, place of residence of females",Under 20 years,"Total, pregnancies",53.9
1974,"New Brunswick, place of residence of females",Under 20 years,Live births,1971
1974,"New Brunswick, place of residence of females",Under 20 years,Live births,46.0
1974,"New Brunswick, place of residence of females",Under 20 years,Induced abortions,172
