Date declaration of state of emergency,Extension,Date of Report on derogation of human rights to Human Rights Committee,Date lifting state of emergency,Duration (days),Country,Derogation ICCPR Article 8.3,Derogation ICCPR Article 9.2,Derogation ICCPR Article 9.3,Derogation ICCPR Article 10,Derogation ICCPR Article 12.1,Derogation ICCPR Article 12.2,Derogation ICCPR Article 13,Derogation ICCPR Article 14,Derogation ICCPR Article 17.1,Derogation ICCPR Article 17.2,Derogation ICCPR Article 19.1,Derogation ICCPR Article 19.2,Derogation ICCPR Article 20,Derogation ICCPR Article 21,Derogation ICCPR Article 22.1,Derogation ICCPR Article 22.2,Derogation ICCPR Article 23,Derogation ICCPR Article 24,Derogation ICCPR Article 25,Derogation ICCPR Article 26,Derogation ICCPR Article 27,Source,Declaratory organ,Declaratory person,Region,Trigger,Legal background,News sources,National/subnational,Details,Duration and other limitations of SoE according to consitution or other law,,,,,,,,,,,,,,,,
17/09/2015,Yes,11/12/2015,16/11/2015,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 062-2015-PCM, C.N.711.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"Provinces of Huanta and La Mar, department of Ayacucho; the province of Tayacaja, department of Huancavelica; Kimbiri, Pichari and Vilcabamba districts of the province of La Convención, department of Cusco; the province of Satipo; Andamarca and Comas districts of the province of Concepción, and Santo Domingo de Acobamba and Pariahuanca districts of the province of Huancayo, department of Junín.",Man-made disaster,Constitution,N/A,sub-national,"The situation of illicit drug trafficking and illegal cultivation of coca, the main occupation of the population, has remained in most of the mentioned provinces and districts. This necessitated an extension of the state of emergency decree according to the government. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
25/07/2015,Yes,09/11/2015,23/09/2015,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 049-2015-PCM, C.N.620.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"Echarate district of the province of La Convención, department of Cusco.",Man-made disaster,Constitution,N/A,sub-national,"Continuation of police and military efforts to restrain the remnants of Shining Path rebels in the VRAE region, where the rebels have become involved in coca production.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
19/07/2015,Yes,09/11/2015,17/09/2015,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 046-2015-PCM, C.N.619.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"The Districts of Ramón Castilla and Yavarí in the Province of Mariscal Ramón Castilla, Department of Loreto.",Man-made disaster,Constitution,N/A,sub-national,"In order to continue effectively addressing illicit drug trafficking and to reduce the rate of crime related to illicit drug production, an extension of the state is necessary according to the government.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
19/07/2015,Yes,09/11/2015,17/09/2015,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 047-2015-PCM, C.N.618.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"Provinces of Huanta and La Mar, department of Ayacucho; the province of Tayacaja, department of Huancavelica; Kimbiri, Pichari and Vilcabamba districts of the province of La Convención, department of Cusco; the province of Satipo; Andamarca and Comas districts of the province of Concepción, and Santo Domingo de Acobamba and Pariahuanca districts of the province of Huancayo, department of Junín.",Man-made disaster,Constitution,N/A,sub-national,"The situation of illicit drug trafficking and illegal cultivation of coca, the main occupation of the population, has remained. This necessitated an extension of the state of emergency decree according to the government. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
05/06/2015,No,27/11/2015,,,Ukraine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Depositary Notification No. 4132/28-194/501-803, C.N.656.2015.TREATIES-IV.4",,,"The territory of certain areas of the Donetsk and Luhansk regions of Ukraine, that are under control/partial control of the Government as of October 1, 2015.
of Ukraine",Man-made disaster,Constitution,N/A,sub-national,"According to the Ukraine, annexation and occupation of both Russian Armed Forces and illegal armed groups that are backed by the Russian Federation pose a threat on the national order and security so that the derogation from certain obligations of the Ukraine has become unavoidable.",,,,,,,,,,,,,,,,,
26/05/2015,Yes,07/07/2015,25/07/2015,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 041-2015-PCM, C.N.432.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"Echarate district of the province of La Convención, department of Cusco.",Man-made disaster,Constitution,N/A,sub-national,"Continuation of police and military efforts to restrain the remnants of Shining Path rebels in the VRAE region, where the rebels have become involved in coca production.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
22/05/2015,No,07/07/2015,21/07/2015,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 040-2015-PCM, C.N.435.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"Districts of Matarani, Mollendo, Mejía, Punta de Bombón, Dean Valdivia, La Curva, El Arenal, Cocachacra and Valle del Tambo in the Province of Islay, Department of Arequipa.",Man-made disaster,Constitution,N/A,sub-national,"Disturbance of public order necessitated a state of emergency in order to achieve stability and governability, according to the government.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
20/05/2015,Yes,07/07/2015,19/07/2015,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 035-2015-PCM, C.N.429.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"Provinces of Huanta and La Mar, department of Ayacucho; the province of Tayacaja, department of Huancavelica; Kimbiri, Pichari and Vilcabamba districts of the province of La Convención, department of Cusco; the province of Satipo; Andamarca and Comas districts of the province of Concepción, and Santo Domingo de Acobamba and Pariahuanca districts of the province of Huancayo, department of Junín.",Man-made disaster,Constitution,N/A,sub-national,"The situation of illicit drug trafficking and illegal cultivation of coca, the main occupation of the population, has remained. This necessitated an extension of the state of emergency decree according to the government. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
20/05/2015,Yes,07/07/2015,19/07/2015,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 036-2015-PCM, C.N.427.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"The Districts of Ramón Castilla and Yavarí in the Province of Mariscal Ramón Castilla, Department of Loreto.",Man-made disaster,Constitution,N/A,sub-national,"In order to continue effectively addressing illicit drug trafficking and to reduce the rate of crime related to illicit drug production, an extension of the state is necessary according to the government.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
24/04/2015,Yes,07/07/2015,23/06/2015,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 031-2015-PCM, C.N.434.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"Cholón district of the province of Marañón, the Monzón district of the province of Huamalies and the province of Leoncio Prado, all located in the department of Huánuco; the province of Tocache, department of San Martin; and the province of Padre Abad, department of Ucayali. ",Man-made disaster,Constitution,N/A,sub-national,"According to the government, the continued movement of remnants of the Shining Path terrorist organization in the Huallaga Valley, divided into terrorist columns in various rural areas together with the problem of illicit drug trafficking, constitute a situation that necessitates a state of emergency declaration to enable the national police to better maintain order. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
27/03/2015,Yes,07/07/2015,26/05/2015,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notificatoin of Supreme Decree No. 018-2015-PCM, C.N.430.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"Echarate district of the province of La Convención, department of Cusco.",Man-made disaster,Constitution,N/A,sub-national,"Continuation of police and military efforts to restrain the remnants of Shining Path rebels in the VRAE region, where the rebels have become involved in coca production.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
21/03/2015,Yes,07/07/2015,20/05/2015,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 016-2015-PCM, C.N.428.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"Provinces of Huanta and La Mar, department of Ayacucho; the province of Tayacaja, department of Huancavelica; Kimbiri, Pichari and Vilcabamba districts of the province of La Convención, department of Cusco; the province of Satipo; Andamarca and Comas districts of the province of Concepción, and Santo Domingo de Acobamba and Pariahuanca districts of the province of Huancayo, department of Junín.",Man-made disaster,Constitution,N/A,sub-national,"The situation of illicit drug trafficking and illegal cultivation of coca, the main occupation of the population, has remained. This necessitated an extension of the state of emergency decree according to the government. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
20/03/2015,Yes,07/07/2015,19/05/2015,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 015-2015-PCM, C.N.426.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"The Districts of Ramón Castilla and Yavarí in the Province of Mariscal Ramón Castilla, Department of Loreto.",Man-made disaster,Constitution,N/A,sub-national,"In order to continue effectively addressing illicit drug trafficking and to reduce the rate of crime related to illicit drug production, an extension of the state is necessary according to the government.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
23/02/2015,Yes,07/07/2015,24/04/2015,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 009-2015-PCM, C.N.433.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"Cholón district of the province of Marañón, the Monzón district of the province of Huamalies and the province of Leoncio Prado, all located in the department of Huánuco; the province of Tocache, department of San Martin; and the province of Padre Abad, department of Ucayali. ",Man-made disaster,Constitution,N/A,sub-national,"According to the government, the continued movement of remnants of the Shining Path terrorist organization in the Huallaga Valley, divided into terrorist columns in various rural areas together with the problem of illicit drug trafficking, constitute a situation that necessitates a state of emergency declaration to enable the national police to better maintain order. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
26/01/2015,Yes,18/02/2015,27/03/2015,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 004-2015-PCM, C.N.156.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"Echarate district of the province of La Convención, department of Cusco.",Man-made disaster,Constitution,N/A,sub-national,"Continuation of police and military efforts to restrain the remnants of Shining Path rebels in the VRAE region, where the rebels have become involved in coca production.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
19/01/2015,Yes,18/02/2015,20/03/2015,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 002-2015-PCM, C.N.152.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"The Districts of Ramón Castilla and Yavarí in the Province of Mariscal Ramón Castilla, Department of Loreto.",Man-made disaster,Constitution,N/A,sub-national,"In order to continue effectively addressing illicit drug trafficking and to reduce the rate of crime related to illicit drug production, an extension of the state is necessary according to the government.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
25/12/2014,Yes,18/02/2015,23/02/2015,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 075-2014-PCM, C.N.155.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"Cholón district of the province of Marañón, the Monzón district of the province of Huamalies and the province of Leoncio Prado, all located in the department of Huánuco; the province of Tocache, department of San Martin; and the province of Padre Abad, department of Ucayali. ",Man-made disaster,Constitution,N/A,sub-national,"According to the government, the continued movement of remnants of the Shining Path terrorist organization in the Huallaga Valley, divided into terrorist columns in various rural areas together with the problem of illicit drug trafficking, constitute a situation that necessitates a state of emergency declaration to enable the national police to better maintain order. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
27/11/2014,Yes,18/02/2015,26/01/2015,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 068-2014-PCM, C.N.154.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"Echarate district of the province of La Convención, department of Cusco.",Man-made disaster,Constitution,N/A,sub-national,"Continuation of police and military efforts to restrain the remnants of Shining Path rebels in the VRAE region, where the rebels have become involved in coca production.","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
21/11/2014,Yes,18/02/2015,20/01/2015,60,Peru,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,"Depositary Notification of Supreme Decree No. 067-2014-PCM, C.N.153.2015.TREATIES-IV.4",President,Ollanta Humala Tasso,"Provinces of Huanta and La Mar, department of Ayacucho; the province of Tayacaja, department of Huancavelica; Kimbiri, Pichari and Vilcabamba districts of the province of La Convención, department of Cusco; the province of Satipo; Andamarca and Comas districts of the province of Concepción, and Santo Domingo de Acobamba and Pariahuanca districts of the province of Huancayo, department of Junín.",Man-made disaster,Constitution,N/A,sub-national,"The situation of illicit drug trafficking and illegal cultivation of coca, the main occupation of the population, has remained. This necessitated an extension of the state of emergency decree according to the government. ","The Constitution of Peru of 1993 states in Art. 137 that a state of emergency may not exceed 60 days, while extention is possible. A state of siege may not be longer than 45 days, with necessary Congress approval for extension as stipulated in art. 137 of Constitution. (http://www.wipo.int/wipolex/en/details.jsp?id=6544) ",,,,,,,,,,,,,,,,
